病毒	病毒	<span class="pinYinWrapper"><span class="t4">bìng</span> <span class="t2">dú</span></span>	<span class="zhuyin">ㄅㄧㄥˋ ㄉㄨˊ</span>	[sound:cmn-病毒.mp3]	<div class="char"><span class="char-tone4">病</span><span class="char-tone2">毒</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bìng</span> <span class="t2">dú</span></span></div><div class='meaning'><ul><li>virus</li></ul></div>
玻璃	玻璃	<span class="pinYinWrapper"><span class="t1">bō</span> <span class="t0">li</span></span>	<span class="zhuyin">ㄅㄛ ㄌㄧ˙</span>	[sound:cmn-玻璃.mp3]	<div class="char"><span class="char-tone1">玻</span><span class="char-tone0">璃</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t1">bō</span> <span class="t0">li</span></span></div><div class='meaning'><ul><li>glass</li><li> CL:張|张[zhang1],塊|块[kuai4]</li><li> (slang) male homosexual</li></ul></div>
博客	博客	<span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">kè</span></span>	<span class="zhuyin">ㄅㄛˊ ㄎㄜˋ</span>	[sound:cmn-博客.mp3]	<div class="char"><span class="char-tone2">博</span><span class="char-tone4">客</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">kè</span></span></div><div class='meaning'><ul><li>blog (loanword)</li><li> weblog</li><li> blogger</li></ul></div>
博览会	博覽會	<span class="pinYinWrapper"><span class="t2">bó</span> <span class="t3">lǎn</span> <span class="t4">huì</span></span>	<span class="zhuyin">ㄅㄛˊ ㄌㄢˇ ㄏㄨㄟˋ</span>	[sound:cmn-博览会.mp3]	<div class="char"><span class="char-tone2">博</span><span class="char-tone3">览</span><span class="char-tone4">会</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bó</span> <span class="t3">lǎn</span> <span class="t4">huì</span></span></div><div class='meaning'><ul><li>exposition</li><li> international fair</li></ul></div>
博士	博士	<span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">shì</span></span>	<span class="zhuyin">ㄅㄛˊ ㄕˋ</span>	[sound:cmn-博士.mp3]	<div class="char"><span class="char-tone2">博</span><span class="char-tone4">士</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">shì</span></span></div><div class='meaning'><ul><li>doctor</li><li> court academician (in feudal China)</li><li> Ph.D.</li></ul></div>
博物馆	博物館	<span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">wù</span> <span class="t3">guǎn</span></span>	<span class="zhuyin">ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ</span>	[sound:cmn-博物馆.mp3]	<div class="char"><span class="char-tone2">博</span><span class="char-tone4">物</span><span class="char-tone3">馆</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">wù</span> <span class="t3">guǎn</span></span></div><div class='meaning'><ul><li>museum</li></ul></div>
薄弱	薄弱	<span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">ruò</span></span>	<span class="zhuyin">ㄅㄛˊ ㄖㄨㄛˋ</span>	[sound:cmn-薄弱.mp3]	<div class="char"><span class="char-tone2">薄</span><span class="char-tone4">弱</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t2">bó</span> <span class="t4">ruò</span></span></div><div class='meaning'><ul><li>weak</li><li> frail</li></ul></div>
不顾	不顧	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">gù</span></span>	<span class="zhuyin">ㄅㄨˋ ㄍㄨˋ</span>	[sound:cmn-不顾.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone4">顾</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">gù</span></span></div><div class='meaning'><ul><li>in spite of</li><li> regardless of</li></ul></div>
不利	不利	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">lì</span></span>	<span class="zhuyin">ㄅㄨˋ ㄌㄧˋ</span>	[sound:cmn-不利.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone4">利</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">lì</span></span></div><div class='meaning'><ul><li>unfavorable</li><li> disadvantageous</li><li> harmful</li><li> detrimental</li></ul></div>
不耐烦	不耐煩	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">nài</span> <span class="t2">fán</span></span>	<span class="zhuyin">ㄅㄨˋ ㄋㄞˋ ㄈㄢˊ</span>	[sound:cmn-不耐烦.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone4">耐</span><span class="char-tone2">烦</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">nài</span> <span class="t2">fán</span></span></div><div class='meaning'><ul><li>impatience</li><li> impatient</li></ul></div>
不幸	不幸	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">xìng</span></span>	<span class="zhuyin">ㄅㄨˋ ㄒㄧㄥˋ</span>	[sound:cmn-不幸.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone4">幸</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">xìng</span></span></div><div class='meaning'><ul><li>misfortune</li><li> adversity</li><li> unfortunate</li><li> sad</li><li> unfortunately</li><li> CL:個|个[ge4]</li></ul></div>
不易	不易	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">yì</span></span>	<span class="zhuyin">ㄅㄨˋ ㄧˋ</span>	[sound:cmn-不易.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone4">易</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t4">yì</span></span></div><div class='meaning'><ul><li>not easy to do sth</li><li> difficult</li><li> unchanging</li></ul></div>
补偿	補償	<span class="pinYinWrapper"><span class="t3">bǔ</span> <span class="t2">cháng</span></span>	<span class="zhuyin">ㄅㄨˇ ㄔㄤˊ</span>	[sound:cmn-补偿.mp3]	<div class="char"><span class="char-tone3">补</span><span class="char-tone2">偿</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǔ</span> <span class="t2">cháng</span></span></div><div class='meaning'><ul><li>to compensate</li><li> to make up</li></ul></div>
补贴	補貼	<span class="pinYinWrapper"><span class="t3">bǔ</span> <span class="t1">tiē</span></span>	<span class="zhuyin">ㄅㄨˇ ㄊㄧㄝ</span>	[sound:cmn-补贴.mp3]	<div class="char"><span class="char-tone3">补</span><span class="char-tone1">贴</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t3">bǔ</span> <span class="t1">tiē</span></span></div><div class='meaning'><ul><li>to subsidize</li><li> subsidy</li><li> allowance</li><li> to supplement (one's salary etc)</li><li> benefit</li></ul></div>
不曾	不曾	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t2">céng</span></span>	<span class="zhuyin">ㄅㄨˋ ㄘㄥˊ</span>	[sound:cmn-不曾.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone2">曾</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t2">céng</span></span></div><div class='meaning'><ul><li>hasn't yet</li><li> hasn't ever</li></ul></div>
不得了	不得了	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t2">dé</span> <span class="t3">liǎo</span></span>	<span class="zhuyin">ㄅㄨˋ ㄉㄜˊ ㄌㄧㄠˇ</span>	[sound:cmn-不得了.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone2">得</span><span class="char-tone3">了</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t2">dé</span> <span class="t3">liǎo</span></span></div><div class='meaning'><ul><li>desperately serious</li><li> disastrous</li><li> extremely</li><li> exceedingly</li></ul></div>
不敢当	不敢當	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t3">gǎn</span> <span class="t1">dāng</span></span>	<span class="zhuyin">ㄅㄨˋ ㄍㄢˇ ㄉㄤ</span>	[sound:cmn-不敢当.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone3">敢</span><span class="char-tone1">当</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t3">gǎn</span> <span class="t1">dāng</span></span></div><div class='meaning'><ul><li>lit. I dare not (accept the honor)</li><li> fig. I don't deserve your praise</li><li> you flatter me</li></ul></div>
不良	不良	<span class="pinYinWrapper"><span class="t4">bù</span> <span class="t2">liáng</span></span>	<span class="zhuyin">ㄅㄨˋ ㄌㄧㄤˊ</span>	[sound:cmn-不良.mp3]	<div class="char"><span class="char-tone4">不</span><span class="char-tone2">良</span></div><div class="pinyin"><span class="pinYinWrapper"><span class="t4">bù</span> <span class="t2">liáng</span></span></div><div class='meaning'><ul><li>bad</li><li> harmful</li><li> unhealthy</li></ul></div>
